"","x","y","Cell_class"
"323",990.7452308,3420.985742,"Excitatory"
"324",998.1935834,3446.647476,"Astrocyte"
"326",1004.421373,3497.106028,"Excitatory"
"327",1016.415876,3495.073494,"Inhibitory"
"328",1015.124844,3384.743586,"Inhibitory"
"329",1024.609408,3506.136323,"Inhibitory"
"330",1024.239789,3396.086703,"OD Mature 2"
"333",1047.279219,3407.076506,"OD Immature 1"
"334",1053.546689,3500.367778,"Inhibitory"
"335",1088.243058,3523.558778,"Astrocyte"
"336",1091.086363,3471.230156,"OD Mature 2"
"337",1095.791132,3496.405543,"Excitatory"
"338",1102.684193,3445.865533,"Endothelial 3"
"339",1107.651432,3425.983799,"Inhibitory"
"340",1106.626014,3419.346327,"OD Immature 2"
"341",1111.932468,3529.160234,"Inhibitory"
"342",1122.14676,3447.173714,"Inhibitory"
"343",935.8749774,3514.420132,"OD Mature 2"
"344",940.7785506,3471.926342,"Astrocyte"
"346",958.4506615,3565.094373,"Excitatory"
"347",954.5915938,3431.258729,"Inhibitory"
"348",956.4175997,3436.10854,"Inhibitory"
"349",961.5802025,3503.301511,"Astrocyte"
"350",965.8955906,3508.972708,"Endothelial 1"
"351",1003.196002,3556.807695,"Inhibitory"
"352",1030.517733,3514.087748,"Endothelial 1"
"353",1033.923011,3560.085705,"Endothelial 3"
"354",1053.235759,3445.992256,"Inhibitory"
"355",1062.476374,3564.893051,"Inhibitory"
"357",1078.820755,3419.317544,"OD Mature 2"
"358",1086.472555,3453.876047,"Astrocyte"
"360",1095.247034,3458.053954,"Astrocyte"
"361",1104.453435,3495.316427,"Inhibitory"
"362",949.2564886,3538.684617,"Inhibitory"
"363",960.536815,3528.066403,"Astrocyte"
"364",963.0265921,3548.355737,"Astrocyte"
"365",978.3045561,3560.63559,"Excitatory"
"366",1013.202656,3490.786324,"Inhibitory"
"367",1038.521985,3416.217777,"OD Mature 1"
"368",1053.563105,3391.149678,"OD Mature 1"
"369",1062.152939,3492.033404,"Inhibitory"
"370",1078.734462,3544.140556,"Excitatory"
"371",1117.780275,3389.097175,"Inhibitory"
"372",987.8055332,3450.19492,"OD Immature 1"
"373",986.15867,3539.797477,"OD Immature 1"
"374",1072.428417,3402.899087,"Astrocyte"
"375",945.4894482,3734.85587,"Excitatory"
"376",957.6389781,3752.668542,"Inhibitory"
"377",968.5293314,3698.152746,"OD Immature 2"
"378",971.1644604,3639.837212,"Astrocyte"
"380",972.9784184,3729.241974,"Inhibitory"
"381",978.9447849,3587.17319,"Endothelial 1"
"382",983.5184998,3688.933377,"Inhibitory"
"383",991.4302911,3653.327564,"Endothelial 1"
"384",993.4885216,3596.521342,"Inhibitory"
"386",1014.248238,3769.139599,"Inhibitory"
"387",1020.862793,3754.260238,"Excitatory"
"388",1022.013852,3717.759542,"OD Immature 1"
"389",1020.408292,3602.487714,"Inhibitory"
"390",1019.662332,3650.467461,"Inhibitory"
"391",1024.359737,3671.343679,"Endothelial 1"
"392",1038.484375,3606.225152,"Inhibitory"
"393",1047.475315,3746.495463,"Inhibitory"
"394",1049.121002,3702.541058,"Astrocyte"
"395",1047.544839,3710.685204,"Astrocyte"
"396",1053.111726,3649.325505,"Microglia"
"397",1054.086087,3621.73885,"Inhibitory"
"398",1057.097765,3692.925065,"Astrocyte"
"399",1059.954562,3745.471677,"Inhibitory"
"400",1062.094424,3677.128824,"Inhibitory"
"401",1062.23669,3651.224134,"Endothelial 1"
"403",1066.722944,3643.702094,"Inhibitory"
"404",1070.599848,3694.929694,"Endothelial 1"
"405",1076.305239,3761.434535,"Inhibitory"
"406",1080.487295,3658.522353,"Inhibitory"
"407",1086.218783,3637.38987,"Endothelial 3"
"408",1092.37721,3617.568337,"Inhibitory"
"409",1100.177226,3697.442784,"Inhibitory"
"410",1102.804966,3601.173599,"Microglia"
"411",1109.531518,3639.339939,"Astrocyte"
"412",1109.362017,3740.089329,"OD Immature 1"
"413",1112.373609,3763.394448,"Microglia"
"414",1113.820597,3631.135913,"Astrocyte"
"415",953.6400377,3649.699251,"Inhibitory"
"417",1071.372564,3712.816497,"Endothelial 1"
"418",1080.109633,3626.281974,"Inhibitory"
"419",1084.914107,3739.658391,"Inhibitory"
"420",1110.571928,3757.1784,"Inhibitory"
"421",1117.501288,3764.006299,"Inhibitory"
"422",939.2007319,3716.803222,"Inhibitory"
"423",1013.509599,3730.634393,"Inhibitory"
"424",1028.339564,3707.887082,"OD Mature 2"
"425",1031.443622,3760.653641,"Inhibitory"
"427",1075.075337,3672.353712,"Astrocyte"
"428",1094.528763,3594.466423,"Endothelial 3"
"429",1113.575349,3674.989839,"Inhibitory"
"430",1121.416819,3708.113658,"Inhibitory"
"431",939.4262537,3604.077896,"Inhibitory"
"432",1039.278544,3643.691722,"Inhibitory"
"433",1109.875082,3720.863918,"Inhibitory"
"434",935.019337,3823.360205,"Inhibitory"
"435",939.3797465,3901.515718,"Inhibitory"
"436",948.7820076,3889.938403,"Inhibitory"
"437",950.8730001,3824.535228,"OD Mature 2"
"439",959.2813748,3921.809057,"Endothelial 1"
"440",959.2746598,3971.0289,"OD Immature 1"
"441",959.9953412,3954.992567,"Inhibitory"
"442",965.4282844,3840.669182,"Endothelial 1"
"444",966.1626318,3812.826888,"Inhibitory"
"445",964.820797,3905.666842,"Inhibitory"
"447",984.2612716,3929.020792,"Inhibitory"
"448",984.5010541,3951.255204,"Inhibitory"
"449",996.4325766,3914.8684,"Inhibitory"
"450",996.7617333,3811.135893,"Inhibitory"
"451",1004.504781,3907.916808,"Inhibitory"
"452",1011.041853,3885.932394,"Inhibitory"
"453",1009.997081,3901.13294,"Inhibitory"
"454",1008.842445,3932.269019,"Inhibitory"
"455",1013.390261,3833.976273,"Inhibitory"
"456",1014.220175,3918.235717,"Inhibitory"
"458",1019.962788,3800.699615,"OD Immature 1"
"460",1025.92012,3884.689417,"Inhibitory"
"461",1027.556432,3926.436241,"Excitatory"
"462",1029.159532,3787.577165,"Inhibitory"
"463",1031.527577,3829.462952,"Inhibitory"
"464",1035.455497,3851.710373,"Inhibitory"
"465",1038.060982,3937.664615,"Endothelial 1"
"466",1038.446477,3963.064739,"Inhibitory"
"467",1044.469439,3880.02382,"Endothelial 1"
"468",1046.851206,3853.579465,"Inhibitory"
"469",1056.735354,3913.088231,"Inhibitory"
"471",1061.957175,3870.213918,"Astrocyte"
"472",1062.445088,3941.434464,"Excitatory"
"473",1064.349596,3894.162138,"Inhibitory"
"474",1064.88777,3826.685886,"Astrocyte"
"475",1071.509026,3869.226489,"Inhibitory"
"476",1081.020902,3821.718767,"Inhibitory"
"477",1086.369018,3894.440457,"Inhibitory"
"478",1084.812923,3801.895842,"Inhibitory"
"479",1088.87569,3882.374124,"Inhibitory"
"480",1106.303396,3957.439402,"Inhibitory"
"481",1110.310988,3864.919362,"Inhibitory"
"482",1110.717981,3901.707275,"Excitatory"
"483",1119.594614,3891.627028,"Inhibitory"
"484",1123.919376,3921.595087,"Endothelial 1"
"485",974.0696683,3793.947402,"Endothelial 1"
"486",1043.619475,3790.25106,"Inhibitory"
"487",1052.470382,3896.898195,"Inhibitory"
"488",1056.054259,3923.309796,"Excitatory"
"489",1064.005869,3885.805505,"Inhibitory"
"490",1072.52268,3930.866274,"Endothelial 3"
"491",1094.045684,3852.667009,"Inhibitory"
"492",935.5598556,3911.550404,"Inhibitory"
"493",987.9738649,3973.996507,"Endothelial 1"
"494",999.7276243,3962.023119,"Inhibitory"
"495",1007.129993,3822.771666,"Inhibitory"
"496",1043.818444,3886.333208,"Inhibitory"
"497",1072.665513,3924.07554,"Inhibitory"
"498",1071.482572,3887.081779,"Inhibitory"
"499",1089.888404,3947.850547,"Inhibitory"
"500",980.6272085,3964.546866,"Inhibitory"
"501",1063.816321,3910.540284,"Inhibitory"
"502",986.9716265,3917.01334,"Inhibitory"
"503",1028.271036,3950.689905,"Excitatory"
"504",1084.217044,3824.944514,"Inhibitory"
"505",1084.861814,3923.730117,"Inhibitory"
"506",936.307073,4164.087241,"Inhibitory"
"507",939.4089878,4049.93685,"Inhibitory"
"508",940.6119813,4026.352673,"Inhibitory"
"509",939.8443594,4136.643024,"Excitatory"
"511",951.1421542,4015.204101,"Astrocyte"
"512",956.3544917,4087.450064,"Inhibitory"
"513",957.2491646,4102.592701,"Inhibitory"
"514",963.1221608,4142.144403,"Inhibitory"
"515",964.1781831,4021.119108,"Inhibitory"
"516",971.2925675,4058.341033,"Inhibitory"
"517",976.2587848,4137.489836,"Excitatory"
"519",981.9091223,4057.674661,"Inhibitory"
"520",986.7408059,4014.125076,"Excitatory"
"521",990.0307112,4063.30399,"Inhibitory"
"522",984.6621243,4157.775382,"Endothelial 1"
"523",989.5848042,4083.74753,"Excitatory"
"524",991.044388,4162.401205,"Astrocyte"
"525",995.8282049,4046.29904,"Inhibitory"
"526",996.1443226,4020.557798,"Inhibitory"
"527",1011.046595,4094.969059,"Inhibitory"
"528",1016.182356,4015.297668,"Inhibitory"
"530",1018.279296,4028.766678,"Astrocyte"
"531",1020.270232,4006.1337,"Astrocyte"
"533",1035.5332,4066.25046,"Inhibitory"
"534",1036.291535,4052.425175,"Inhibitory"
"535",1038.615211,4022.665515,"Inhibitory"
"536",1051.347841,4127.982822,"Excitatory"
"537",1057.789823,4011.784043,"Excitatory"
"538",1057.929299,4035.591637,"Inhibitory"
"539",1078.473874,4069.681105,"Inhibitory"
"540",1079.282531,4158.758495,"Microglia"
"541",1082.405463,4137.162122,"Excitatory"
"542",1086.821161,4003.498951,"Inhibitory"
"543",1088.812203,4162.012183,"OD Mature 2"
"544",1091.995455,4047.041673,"Excitatory"
"545",1091.52715,4117.335872,"Endothelial 1"
"547",1100.489776,4142.05525,"OD Mature 2"
"548",1101.271089,3985.305519,"Endothelial 1"
"549",1108.540981,4117.751173,"OD Mature 2"
"550",1113.644675,3991.753249,"Astrocyte"
"552",1113.832836,4037.149106,"OD Mature 2"
"553",949.7240427,4129.586527,"Excitatory"
"554",970.8278051,4005.450524,"Inhibitory"
"555",1035.172742,3991.957326,"Inhibitory"
"556",1043.533804,4092.750755,"Microglia"
"558",1054.702433,4065.853986,"Inhibitory"
"559",1063.89672,4101.810772,"Endothelial 3"
"560",1087.046861,4143.335064,"Excitatory"
"561",1108.398027,4162.658868,"OD Mature 2"
"562",1111.370057,4003.071331,"Inhibitory"
"563",1070.431205,4061.03214,"Inhibitory"
"564",1105.859492,4147.551526,"Astrocyte"
"565",1058.547719,4117.588119,"Excitatory"
"567",1100.405405,4105.577756,"Astrocyte"
"569",1131.968256,4150.776707,"OD Immature 1"
"570",1133.962286,4053.545792,"Astrocyte"
"571",1137.553039,4088.297078,"Endothelial 1"
"576",1152.553025,4100.951304,"Excitatory"
"577",1155.878969,4043.290217,"Endothelial 1"
"578",1158.118182,3989.460381,"Astrocyte"
"581",1164.753731,4031.603136,"Microglia"
"582",1165.72932,4133.483489,"Endothelial 1"
"583",1171.902904,4064.968689,"Inhibitory"
"584",1170.567982,4167.583453,"OD Mature 1"
"585",1175.121896,4035.784338,"Excitatory"
"586",1180.536896,4095.72754,"Excitatory"
"587",1184.206847,4125.717208,"Inhibitory"
"588",1188.110586,4163.844965,"OD Immature 1"
"589",1192.309605,4085.771405,"Inhibitory"
"590",1202.311997,4151.396094,"OD Mature 2"
"591",1205.073771,4076.85641,"Excitatory"
"592",1203.287971,4101.109481,"Excitatory"
"593",1205.620087,4036.971408,"Endothelial 1"
"594",1206.935692,4023.680443,"Excitatory"
"595",1221.872638,4017.264539,"OD Mature 2"
"596",1219.720981,4168.937735,"OD Mature 3"
"598",1234.45088,4106.649522,"OD Mature 2"
"599",1237.933629,4145.349962,"Inhibitory"
"600",1239.714281,4154.565295,"OD Mature 2"
"602",1260.485303,4058.487002,"Excitatory"
"603",1264.98423,4134.324519,"Astrocyte"
"604",1273.414526,4161.699926,"Excitatory"
"605",1296.881803,4132.303708,"Excitatory"
"606",1297.64037,4085.645349,"OD Mature 2"
"607",1300.144177,4101.404419,"OD Mature 2"
"608",1302.070457,4016.879421,"Excitatory"
"609",1304.50264,4173.734444,"OD Mature 1"
"610",1310.307395,4115.247444,"OD Mature 2"
"611",1311.851233,4129.575918,"Astrocyte"
"612",1144.751681,4093.086637,"Endothelial 3"
"613",1147.547835,4012.57928,"Astrocyte"
"614",1164.123217,4145.638559,"Astrocyte"
"615",1171.218689,4141.178587,"Excitatory"
"616",1173.504547,4014.672365,"Inhibitory"
"617",1189.442573,4041.593773,"Inhibitory"
"618",1216.150621,4085.152229,"Excitatory"
"619",1215.597869,4154.18449,"Excitatory"
"620",1266.178413,4074.397249,"OD Mature 2"
"622",1298.512368,4028.592382,"OD Mature 2"
"624",1304.122884,4150.685477,"Microglia"
"626",1310.179494,4062.051941,"OD Mature 2"
"627",1316.593228,4110.125932,"OD Mature 2"
"629",1190.912251,4151.567314,"Excitatory"
"631",1246.363701,4129.482173,"OD Mature 2"
"633",1320.493553,4005.056825,"OD Mature 2"
"635",1231.913978,3988.725018,"OD Mature 1"
"636",1233.781839,4087.683124,"OD Mature 2"
"637",1257.036303,4041.940254,"OD Mature 2"
"638",1282.398795,4129.866186,"OD Mature 2"
"639",1206.23896,4170.516099,"Excitatory"
"640",1209.763782,4014.116813,"Excitatory"
"641",1243.802754,4141.888831,"OD Mature 2"
"642",1142.662099,3829.073984,"Inhibitory"
"643",1146.078296,3923.79238,"Inhibitory"
"644",1147.090799,3942.002597,"Inhibitory"
"645",1154.313393,3823.348476,"Inhibitory"
"646",1155.770558,3851.045075,"Excitatory"
"648",1159.667509,3918.857891,"Inhibitory"
"649",1159.884736,3873.837145,"Inhibitory"
"650",1165.516266,3826.599741,"Inhibitory"
"651",1165.527637,3885.141723,"Inhibitory"
"652",1174.304489,3895.05282,"Inhibitory"
"653",1174.095857,3801.284053,"Inhibitory"
"654",1177.926633,3847.273217,"Inhibitory"
"655",1178.683997,3885.288632,"OD Mature 3"
"656",1184.440654,3813.290815,"Inhibitory"
"657",1184.855336,3842.292652,"Inhibitory"
"658",1186.148594,3829.543455,"Inhibitory"
"659",1193.736022,3868.711871,"Inhibitory"
"660",1192.717893,3796.470719,"Inhibitory"
"662",1197.948016,3925.946842,"Microglia"
"663",1200.863083,3842.880027,"Inhibitory"
"664",1208.534171,3903.343788,"Inhibitory"
"667",1215.714787,3793.276148,"Inhibitory"
"668",1222.136735,3938.485415,"Excitatory"
"669",1230.121545,3795.266658,"Inhibitory"
"670",1232.336448,3887.930323,"Endothelial 1"
"671",1233.432692,3784.337209,"Inhibitory"
"672",1235.174387,3905.562634,"Excitatory"
"673",1237.233254,3951.066774,"Inhibitory"
"674",1242.18988,3932.728175,"Excitatory"
"675",1246.788127,3913.488455,"OD Mature 2"
"676",1245.913282,3824.144658,"OD Immature 1"
"677",1250.717913,3873.993539,"Excitatory"
"678",1258.934488,3941.377173,"Inhibitory"
"679",1262.644989,3969.444815,"OD Mature 2"
"680",1266.856871,3873.430511,"Excitatory"
